Codepoint,Property,Description
0000-002C,DISALLOWED,NULL..COMMA
002D,PVALID,HYPHEN-MINUS
002E-002F,DISALLOWED,FULL STOP..SOLIDUS
0030-0039,PVALID,DIGIT ZERO..DIGIT NINE
003A-0060,DISALLOWED,COLON..GRAVE ACCENT
0061-007A,PVALID,LATIN SMALL LETTER A..LATIN SMALL LETTER Z
007B-00B6,DISALLOWED,LEFT CURLY BRACKET..PILCROW SIGN
00B7,CONTEXTO,MIDDLE DOT
00B8-00DE,DISALLOWED,CEDILLA..LATIN CAPITAL LETTER THORN
00DF-00F6,PVALID,LATIN SMALL LETTER SHARP S..LATIN SMALL LETTER O WITH DIAERESIS
00F7,DISALLOWED,DIVISION SIGN
00F8-00FF,PVALID,LATIN SMALL LETTER O WITH STROKE..LATIN SMALL LETTER Y WITH DIAERESIS
0100,DISALLOWED,LATIN CAPITAL LETTER A WITH MACRON
0101,PVALID,LATIN SMALL LETTER A WITH MACRON
0102,DISALLOWED,LATIN CAPITAL LETTER A WITH BREVE
0103,PVALID,LATIN SMALL LETTER A WITH BREVE
0104,DISALLOWED,LATIN CAPITAL LETTER A WITH OGONEK
0105,PVALID,LATIN SMALL LETTER A WITH OGONEK
0106,DISALLOWED,LATIN CAPITAL LETTER C WITH ACUTE
0107,PVALID,LATIN SMALL LETTER C WITH ACUTE
0108,DISALLOWED,LATIN CAPITAL LETTER C WITH CIRCUMFLEX
0109,PVALID,LATIN SMALL LETTER C WITH CIRCUMFLEX
010A,DISALLOWED,LATIN CAPITAL LETTER C WITH DOT ABOVE
010B,PVALID,LATIN SMALL LETTER C WITH DOT ABOVE
010C,DISALLOWED,LATIN CAPITAL LETTER C WITH CARON
010D,PVALID,LATIN SMALL LETTER C WITH CARON
010E,DISALLOWED,LATIN CAPITAL LETTER D WITH CARON
010F,PVALID,LATIN SMALL LETTER D WITH CARON
0110,DISALLOWED,LATIN CAPITAL LETTER D WITH STROKE
0111,PVALID,LATIN SMALL LETTER D WITH STROKE
0112,DISALLOWED,LATIN CAPITAL LETTER E WITH MACRON
0113,PVALID,LATIN SMALL LETTER E WITH MACRON
0114,DISALLOWED,LATIN CAPITAL LETTER E WITH BREVE
0115,PVALID,LATIN SMALL LETTER E WITH BREVE
0116,DISALLOWED,LATIN CAPITAL LETTER E WITH DOT ABOVE
0117,PVALID,LATIN SMALL LETTER E WITH DOT ABOVE
0118,DISALLOWED,LATIN CAPITAL LETTER E WITH OGONEK
0119,PVALID,LATIN SMALL LETTER E WITH OGONEK
011A,DISALLOWED,LATIN CAPITAL LETTER E WITH CARON
011B,PVALID,LATIN SMALL LETTER E WITH CARON
011C,DISALLOWED,LATIN CAPITAL LETTER G WITH CIRCUMFLEX
011D,PVALID,LATIN SMALL LETTER G WITH CIRCUMFLEX
011E,DISALLOWED,LATIN CAPITAL LETTER G WITH BREVE
011F,PVALID,LATIN SMALL LETTER G WITH BREVE
0120,DISALLOWED,LATIN CAPITAL LETTER G WITH DOT ABOVE
0121,PVALID,LATIN SMALL LETTER G WITH DOT ABOVE
0122,DISALLOWED,LATIN CAPITAL LETTER G WITH CEDILLA
0123,PVALID,LATIN SMALL LETTER G WITH CEDILLA
0124,DISALLOWED,LATIN CAPITAL LETTER H WITH CIRCUMFLEX
0125,PVALID,LATIN SMALL LETTER H WITH CIRCUMFLEX
0126,DISALLOWED,LATIN CAPITAL LETTER H WITH STROKE
0127,PVALID,LATIN SMALL LETTER H WITH STROKE
0128,DISALLOWED,LATIN CAPITAL LETTER I WITH TILDE
0129,PVALID,LATIN SMALL LETTER I WITH TILDE
012A,DISALLOWED,LATIN CAPITAL LETTER I WITH MACRON
012B,PVALID,LATIN SMALL LETTER I WITH MACRON
012C,DISALLOWED,LATIN CAPITAL LETTER I WITH BREVE
012D,PVALID,LATIN SMALL LETTER I WITH BREVE
012E,DISALLOWED,LATIN CAPITAL LETTER I WITH OGONEK
012F,PVALID,LATIN SMALL LETTER I WITH OGONEK
0130,DISALLOWED,LATIN CAPITAL LETTER I WITH DOT ABOVE
0131,PVALID,LATIN SMALL LETTER DOTLESS I
0132-0134,DISALLOWED,LATIN CAPITAL LIGATURE IJ..LATIN CAPITAL LETTER J WITH CIRCUMFLEX
0135,PVALID,LATIN SMALL LETTER J WITH CIRCUMFLEX
0136,DISALLOWED,LATIN CAPITAL LETTER K WITH CEDILLA
0137-0138,PVALID,LATIN SMALL LETTER K WITH CEDILLA..LATIN SMALL LETTER KRA
0139,DISALLOWED,LATIN CAPITAL LETTER L WITH ACUTE
013A,PVALID,LATIN SMALL LETTER L WITH ACUTE
013B,DISALLOWED,LATIN CAPITAL LETTER L WITH CEDILLA
013C,PVALID,LATIN SMALL LETTER L WITH CEDILLA
013D,DISALLOWED,LATIN CAPITAL LETTER L WITH CARON
013E,PVALID,LATIN SMALL LETTER L WITH CARON
013F-0141,DISALLOWED,LATIN CAPITAL LETTER L WITH MIDDLE DOT..LATIN CAPITAL LETTER L WITH STROKE
0142,PVALID,LATIN SMALL LETTER L WITH STROKE
0143,DISALLOWED,LATIN CAPITAL LETTER N WITH ACUTE
0144,PVALID,LATIN SMALL LETTER N WITH ACUTE
0145,DISALLOWED,LATIN CAPITAL LETTER N WITH CEDILLA
0146,PVALID,LATIN SMALL LETTER N WITH CEDILLA
0147,DISALLOWED,LATIN CAPITAL LETTER N WITH CARON
0148,PVALID,LATIN SMALL LETTER N WITH CARON
0149-014A,DISALLOWED,LATIN SMALL LETTER N PRECEDED BY APOSTROPHE..LATIN CAPITAL LETTER ENG
014B,PVALID,LATIN SMALL LETTER ENG
014C,DISALLOWED,LATIN CAPITAL LETTER O WITH MACRON
014D,PVALID,LATIN SMALL LETTER O WITH MACRON
014E,DISALLOWED,LATIN CAPITAL LETTER O WITH BREVE
014F,PVALID,LATIN SMALL LETTER O WITH BREVE
0150,DISALLOWED,LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
0151,PVALID,LATIN SMALL LETTER O WITH DOUBLE ACUTE
0152,DISALLOWED,LATIN CAPITAL LIGATURE OE
0153,PVALID,LATIN SMALL LIGATURE OE
0154,DISALLOWED,LATIN CAPITAL LETTER R WITH ACUTE
0155,PVALID,LATIN SMALL LETTER R WITH ACUTE
0156,DISALLOWED,LATIN CAPITAL LETTER R WITH CEDILLA
0157,PVALID,LATIN SMALL LETTER R WITH CEDILLA
0158,DISALLOWED,LATIN CAPITAL LETTER R WITH CARON
0159,PVALID,LATIN SMALL LETTER R WITH CARON
015A,DISALLOWED,LATIN CAPITAL LETTER S WITH ACUTE
015B,PVALID,LATIN SMALL LETTER S WITH ACUTE
015C,DISALLOWED,LATIN CAPITAL LETTER S WITH CIRCUMFLEX
015D,PVALID,LATIN SMALL LETTER S WITH CIRCUMFLEX
